"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Fiz1",0.18090591046716,0.489466728284464,0.048,0.031,1
"Zdhhc2",0.180958671246536,1.17951314290734,0.02,0.01,1
"Itsn1",0.181060466073795,0.213258254959628,0.073,0.051,1
"Trap1",0.181083193890532,1.06820807414622,0.065,0.046,1
"Zfp385b",0.181242898097638,0.373120140241845,0.08,0.058,1
"Lgr4",0.181262571222004,0.156490202409179,0.225,0.186,1
"Nrg2",0.181379598350348,0.796651116737982,0.034,0.019,1
"Ptges",0.181678368675966,1.43933063043905,0.02,0.01,1
"Rmdn2",0.181678368675966,1.64286008333446,0.02,0.01,1
"Zfp516",0.181729743439542,0.317145713566378,0.058,0.039,1
"Lmln",0.182232649462396,1.24353634036639,0.054,0.036,1
"Glt1d1",0.182392179736389,0.511597968235032,0.043,0.027,1
"Daxx",0.182400187750182,1.78932370331641,0.02,0.01,1
"Dmtn",0.18251110239535,0.390016930358873,0.156,0.125,1
"Tmem81",0.182556565632264,0.196672567630553,0.007,0.017,1
"Slc25a4",0.182575202919474,0.49180350589431,0.156,0.125,1
"Esrp1",0.182761893760199,1.06167237151011,0.02,0.01,1
"Gfm2",0.182931271906887,0.14410259854607,0.086,0.063,1
"Rsf1",0.183297178432487,0.228488013393911,0.168,0.135,1
"Loxl3",0.183850201772332,0.822595871711121,0.02,0.01,1
"Pim3",0.183956243494441,0.191083529077886,0.209,0.171,1
"Zbtb4",0.184145001720313,0.149140965074216,0.034,0.019,1
"Armh3",0.184346449268941,0.216019827897303,0.132,0.104,1
"Eif2b4",0.184422441721427,0.269600131000675,0.069,0.048,1
"Hddc2",0.184578402158344,0.854262408029612,0.02,0.01,1
"Agtpbp1",0.184613673410723,0.204448986604903,0.069,0.048,1
"Mrpl58",0.185460712780397,1.0351517471997,0.048,0.031,1
"Fbxl2",0.18567470205406,0.350587879038605,0.02,0.01,1
"Cd47",0.185890573295958,0.335881981584506,0.171,0.14,1
"Rbm33",0.186371901151924,0.338844994868224,0.115,0.089,1
"Nsd1",0.186446157160966,0.138531847704265,0.324,0.277,1
"Rnf213",0.187392199807324,0.606929512965788,0.104,0.08,1
"Ube2e2",0.187482528532234,0.445891604186999,0.21,0.176,1
"2310022B05Rik",0.187689582570411,2.20017078560848,0.017,0.007,1
"Pgam1",0.187693366707183,0.276960221597246,0.069,0.048,1
