"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TRAPPC3",0.00103296588111144,0.63376758292572,0.257,0.182,1
"SERPINB6",9.57855400009036e-05,0.63162724839103,0.303,0.206,1
"VPS29",6.66034320455196e-07,0.631093087528424,0.464,0.338,0.0151249733832171
"USF2",1.75445484332428e-07,0.628082010011569,0.513,0.388,0.0039841915037051
"SNAP23",9.26017484852928e-06,0.627298361439654,0.391,0.281,0.210289310635251
"WAS",1.44354200291778e-16,0.626351268280076,0.73,0.543,3.27813953442599e-12
"EGR1",1.59798642329226e-05,0.624029270083495,0.362,0.252,0.362886736865438
"PPFIA1",6.91826527613066e-05,0.62383980642512,0.322,0.219,1
"SSH1",0.000121465948804161,0.622894629603278,0.309,0.214,1
"PGLS",0.000463236129904493,0.622627427136287,0.28,0.197,1
"CAPZB",3.20667986597329e-28,0.621324025733052,0.859,0.701,7.28204930763875e-24
"SUPT4H1",0.00015713510438999,0.620850445536965,0.349,0.257,1
"SLFN11",7.04256259297944e-05,0.620185743556972,0.253,0.159,1
"KDELR1",1.31442227873636e-07,0.620180620518466,0.467,0.317,0.0029849215527824
"ATP6V1F",6.85416132764115e-05,0.618795128740432,0.395,0.306,1
"ERGIC1",0.00023515941638722,0.617124048158721,0.332,0.238,1
"RPN1",8.60739893195199e-05,0.614740015915442,0.342,0.242,1
"CD74",7.34114059244092e-56,0.614727020770594,0.997,0.931,1.66709961713741e-51
"CHP1",0.000100619255795088,0.614174488930114,0.306,0.208,1
"KLF2",3.30762496317861e-18,0.611946003443243,0.826,0.602,7.51128552888231e-14
"NAPA",1.8490785455688e-08,0.60932532924662,0.553,0.403,0.000419907246913219
"CTBS",0.00167907630851316,0.609133916343567,0.263,0.189,1
"CSRP1",0.00459101070646796,0.607077393289166,0.27,0.206,1
"SIPA1L1",0.00016349945477836,0.605755115226211,0.296,0.201,1
"EIF4E2",8.58178543374656e-05,0.604576928078972,0.385,0.286,1
"IFITM2",2.59202966704434e-42,0.604209196633666,0.961,0.854,5.886240170891e-38
"CHMP1B",1.82834708755676e-05,0.603497615957086,0.362,0.247,0.415199340113265
"TNF",0.000320659409385886,0.600937365807771,0.25,0.168,1
"IFIT1",2.27226520533998e-10,0.599937072539577,0.503,0.315,5.16008705480657e-06
"GBP1",5.69942807804349e-08,0.599310602189798,0.497,0.341,0.0012942831222429
"CTDNEP1",8.17846743668544e-05,0.596128552976838,0.431,0.329,1
"HCLS1",8.76499849584696e-31,0.593246773230399,0.908,0.744,1.99044350842189e-26
"GMFG",1.58011757607551e-14,0.592852876865997,0.743,0.609,3.58828900350988e-10
"HIATL1",0.00120413075559734,0.592449039509002,0.276,0.199,1
"FOXO3",6.66381588155018e-05,0.587737068365895,0.382,0.28,1
"UCP2",4.09938825865536e-17,0.586402200345936,0.809,0.635,9.30930079658046e-13
"RASA1",8.0028648661214e-05,0.584095134347703,0.316,0.216,1
"ADIPOR1",0.00589138705226533,0.58372529143705,0.296,0.238,1
"SSR3",2.43437582370306e-06,0.582106048826946,0.444,0.314,0.0552822405804728
"UBE2Z",0.000163072178846449,0.581629716024537,0.395,0.304,1
"TMEM219",0.000237004170935597,0.581077434595619,0.375,0.288,1
"HN1",1.42028320609574e-05,0.579842463518788,0.431,0.324,0.322532113272281
"STIP1",0.00147746332097661,0.578752827901406,0.296,0.222,1
"MICAL1",0.00271851969873868,0.578577134819463,0.263,0.195,1
"TUBGCP2",0.000766391506164425,0.578191514458328,0.289,0.208,1
"ARHGAP18",0.000698216749064398,0.575070397122716,0.336,0.26,1
"SLC3A2",0.000336976282219909,0.574689520143811,0.339,0.249,1
"AKR1A1",8.12767393610085e-07,0.571933095539742,0.434,0.299,0.0184571347414914
"ATF6",5.14694675749977e-06,0.571020682094876,0.461,0.338,0.116882013916062
"TBC1D1",8.01172854743982e-05,0.569797812598186,0.398,0.296,1
"COL4A3BP",0.000298234975381737,0.569199209693495,0.378,0.295,1
"POMP",4.21128461851105e-07,0.569063800985161,0.536,0.403,0.00956340624017675
"ETV6",4.32273361323382e-05,0.568483554217811,0.378,0.265,0.981649576229269
"BMP2K",4.73162901020506e-05,0.566664373236619,0.286,0.183,1
"PIM3",0.00863859108202979,0.564551543868079,0.27,0.211,1
"LAPTM5",1.48036537836669e-42,0.56300726844843,0.961,0.827,3.36176173773291e-38
"ZNF217",2.92739776455049e-05,0.561722551363242,0.447,0.348,0.66478275835177
"GPSM3",4.14575188347139e-05,0.55966173740398,0.454,0.35,0.941458795217517
"NSFL1C",0.00330475673361494,0.559533034785112,0.296,0.227,1
"HPS5",0.000459319223370778,0.558975670518876,0.266,0.18,1
"WWP2",0.00278822673279962,0.5555970050224,0.257,0.187,1
"FLII",0.000312675389105322,0.555101540975753,0.342,0.249,1
"CLTA",0.000193816330730492,0.554323090410972,0.382,0.286,1
"NUDT3",4.35685064417123e-09,0.554032152116951,0.602,0.44,9.89397212784844e-05
"TBCB",0.000580604304992033,0.553038762840867,0.401,0.315,1
"SRGN",7.77773924583112e-37,0.551805252223693,0.974,0.828,1.76624680533579e-32
"AKAP10",4.78408949664335e-05,0.549947915150228,0.408,0.303,1
